Diameter(mm),Key width(mm),Key depth(mm),Torsional stiffness (N.m/Deg)
10,4,1.8,0.3262
12,5,2.3,0.6612
9,3.5,1.5,0.2199
9.2,4,2,0.2126
9.4,5.5,2.5,0.2071
9.6,4.5,2.2,0.2431
9.8,6,3,0.2052
12,8,5,0.329
11,7.5,4.5,0.2311
9,3,1,0.2457
9,2,1,0.2506
9,1,1,0.2574
8.5,1,1,0.2029
9.87,1.22,3.03,0.2823
12.75,7.21,3.95,0.6072
11.66,3.72,1.28,0.6978
10.99,5.07,4.54,0.2669
8.78,6.25,2.56,0.1343
8.78,2.44,0.53,0.2404
9.25,1.2,2.83,0.216
12.7,9.81,2.95,0.7151
11.39,3.64,1.62,0.6021
10.59,4.86,4.36,0.2239
7.94,5.48,2.3,0.0902
7.84,2.23,2.53,0.0937
7.35,2.78,1.77,0.0827
12.2,7.95,3.88,0.4799
10.61,2.74,2.52,0.389
11.25,1.63,1.24,0.6254
7.12,2.19,1.91,0.0706
12.82,2.58,4.24,0.7447
11.99,9.36,3.76,0.4397
8.27,5.26,1.2,0.1599
8.09,4.22,2.67,0.0901
8.1,5.44,1.22,0.1452
8.83,5.68,1.61,0.1901
10.15,2.33,3.54,0.2684
9.59,6.88,2.97,0.1811
8.75,4.1,3.37,0.1093
10.67,7.19,3.35,0.2786
7.84,5.33,2.16,0.0899
8.75,2.83,0.82,0.2258
9.2,1.68,1.82,0.2429
9.74,2.54,1.53,0.3178
11.71,4.72,1.68,0.6615
8.2,5.25,3.52,0.064
10.09,7.1,2.09,0.304
10.55,1.05,4.32,0.3279
7.28,3.19,2.17,0.0706
10.65,4.19,3.94,0.2736
8.02,2.12,2.01,0.1217
7.39,1.53,2.05,0.0856
12.69,10.23,4.55,0.7615
12.79,10.23,4.55,0.4946
11.85,3.86,4.06,0.4769
8.83,4.02,1.46,0.2017
7.59,4.22,1.57,0.0979
11.11,3.95,3.44,0.3838
9.64,7.45,2.18,0.2394
9.25,1.14,2.9,0.2147
12.7,10.9,4.29,0.5066
11.39,8.4,2.96,0.4561
10.59,2.72,2.18,0.4094
7.94,1.99,1.99,0.1177
7.94,2,3.07,0.0884
7.35,2.48,1.09,0.1019
12.2,6.09,3.28,0.5775
10.61,4.5,3.23,0.3087
11.25,3.55,0.73,0.6446
10.26,7.92,2.41,0.2997
8.67,2.29,3.92,0.11
9.55,2.31,3.83,0.1869
12.07,2.04,2.29,0.7415
7.03,1.99,0.99,0.0873
7.73,6.12,1.68,0.1008
11.02,7.92,2.53,0.4072
11.96,2.63,1.83,0.5978
7.82,5.34,3.05,0.0595
10.45,3.18,0.57,0.4861
10.59,7.01,4.98,0.1632
10.62,6.12,4.58,0.1997
7.63,3.99,1.62,0.099
9.29,1.14,2.86,0.2204
7.22,1.99,1.53,0.0855
12.34,6.36,2.36,0.726
12.89,8.99,2.52,0.8414
7.36,2.22,1.21,0.1003
12.34,3.81,2.75,0.7205
10.46,7.79,2.79,0.2947
9.26,2.87,2.5,0.2042
10.56,2.99,0.91,0.4878
10.78,2.44,2.98,0.394
7.86,6.18,3.7,0.0415
12.6,10.67,3.71,0.5697
12.68,7.09,2.39,0.8096
10.61,6.93,4.21,0.2101
9.33,3.32,3.49,0.1609
9.18,1.61,1.72,0.2462
8.23,3.65,2.66,0.1026
8.16,4.05,1.1,0.156
8.91,6.36,2.19,0.1647
8.38,3.74,3.07,0.0978
12.31,8.06,1.74,0.7968
10.15,5.01,2.24,0.309
11.38,8.92,3.21,0.3939
11.17,7.52,3.93,0.2983
11.77,3.05,4.81,0.436
10.42,2.12,2.71,0.3585
10.24,2.48,4.69,0.2268
8.96,5.34,2.08,0.1776
7.38,3.8,2.65,0.0566
10.25,6.78,3.28,0.2327
10.74,5.16,2.37,0.3897
8.39,5.06,1.59,0.1524
7.91,4.65,2.32,0.0897
12.71,8.04,1.76,0.9122
7.33,1.08,1.1,0.106
7.17,1.14,2.62,0.0668
12.51,6.79,4.14,0.5362
